id,name,categorygroupid
1,"Employment Agency",27
2,Accountant,35
3,"Accounting firm",30
4,"Accounting software company",14
5,"Certified public accountant",27
6,"Software company",36
7,Website designer,36
8,"Chartered accountant",27
9,"Tax consultant",13
10,"Design agency",27
11,"Graphic designer",27
12,"Industrial design company",1
13,"Interior Decorator",3
14,"Interior designer",3
15,"Jewelry designer",32
16,"Media company",4
17,"Media consultant",27
18,"Media house",4
19,"Model design company",4
20,"Multimedia and electronic book publisher",27
21,"Biotechnology company",17
22,"Employment center",27
23,"Employment consultant",27
24,"Employment search service",27
25,"Executive search firm",27
26,Recruiter,27
27,"Aadhar center",15
28,"Abarth dealer",5
29,Abbey,30
30,"Aboriginal and Torres Strait Islander organisation",23
31,"Aboriginal art gallery",15
32,"Abortion clinic",8
33,"Abrasives supplier",4
34,"Abundant Life church",23
35,"Açaí shop",4
36,"Acaraje restaurant",16
37,"Accounting school",14
38,"Acoustical consultant",27
39,"Acrobatic diving pool",27
40,"Acrylic store",9
41,"Acupuncture clinic",36
42,"Acupuncture school",7
43,Acupuncturist,34
44,"Acura dealer",32
45,"Addiction treatment center",16
46,"Administrative attorney",9
47,"Adoption agency",16
48,"Adult day care center",8
49,"Adult DVD store",16
50,"Adult education school",27
51,"Adult entertainment club",23
52,"Adult entertainment store",16
53,"Adult foster care service",32
54,"Adventure sports",34
55,"Adventure sports center",34
56,"Advertising agency",27
57,"Commercial photographer",4
58,"Aerated drinks supplier",35
59,"Antenna service",27
60,"Aerial photographer",4
61,"Aerial sports center",34
62,"Aero dance class",34
63,"Aerobics instructor",34
64,Aeroclub,34
65,"Aeromodel shop",32
66,"Aeronautical engineer",11
67,"Aerospace company",21
68,"Afghan restaurant",14
69,"African goods store",32
70,"African restaurant",14
71,"After school program",9
72,"Agenzia Entrate",15
73,"Aggregate supplier",35
74,"Agistment service",2
75,"Agricultural association",2
76,"Agricultural cooperative",2
77,"Agricultural engineer",2
78,"Agricultural high school",9
79,"Agricultural machinery manufacturer",21
80,"Agricultural organization",2
81,"Agricultural product wholesaler",32
82,"Agricultural production",2
83,"Agricultural service",2
84,"Agriculture cooperative",2
85,"Agrochemicals supplier",35
86,"Aikido club",34
87,"Aikido school",9
88,"Air compressor repair service",31
89,"Air compressor supplier",35
90,"Air conditioning contractor",7
91,"Air conditioning repair service",31
92,"Air conditioning store",32
93,"Air conditioning system supplier",35
94,"Air duct cleaning service",7
95,"Air filter supplier",35
96,"Air force base",15
97,"Air taxi",37
98,"Airbrushing service",4
99,"Airbrushing supply store",32
100,"Aircraft dealer",8
101,"Aircraft maintenance company",21
102,"Aircraft manufacturer",21
103,"Aircraft rental service",21
104,"Aircraft supply store",32
105,Airline,37
106,"Airline ticket agency",37
107,Airplane,37
108,Airport,37
109,"Airport shuttle service",37
110,"Airsoft supply store",32
111,Airstrip,37
112,"Alcohol manufacturer",21
113,"Alcohol retail monopoly",32
114,"Alcoholic beverage wholesaler",32
115,"Alcoholism treatment program",16
116,"Alfa Romeo dealer",8
117,Allergist,16
118,"Alliance church",30
119,"Alsace restaurant",14
120,"Alternative fuel station",32
121,"Alternative medicine practitioner",16
122,"Alternator supplier",35
123,"Aluminum supplier",35
124,"Aluminum frames supplier",35
125,"Aluminum welder",21
126,"Aluminum window",21
127,"Amateur theater",4
128,"Ambulance service",16
129,"American grocery store",32
130,"American restaurant",14
131,"Amish furniture store",32
132,"Ammunition supplier",35
133,Amphitheater,4
134,"Amusement center",34
135,"Amusement machine supplier",35
136,"Amusement park",34
137,"Amusement park ride",34
138,"Amusement ride supplier",35
139,"Anhui restaurant",14
140,"Anago restaurant",14
141,"Andalusian restaurant",14
142,"Andhra restaurant",14
143,Anesthesiologist,22
144,"Anganwadi center",15
145,"Angler fish restaurant",14
146,"Anglican church",30
147,"Animal control service",15
148,"Animal hospital",16
149,"Animal park",34
150,"Animal protection organization",23
151,"Animal rescue service",23
152,"Animal shelter",23
153,"Animal watering hole",34
154,"Animation studio",4
155,"Anime club",4
156,"Anodizing service",21
157,"Antique furniture restoration service",32
158,"Antique furniture store",32
159,"Antique store",32
160,"Apartment building",28
161,"Apartment complex",28
162,"Apartment rental agency",28
163,"Apostolic church",30
164,"Appliance parts supplier",35
165,"Appliance rental service",32
166,"Appliance repair service",31
167,"Appliance store",32
168,"Appliances customer service",27
169,Appraiser,27
170,"Apprenticeship center",9
171,"Aquaculture farm",2
172,Aquarium,34
173,"Aquarium shop",32
174,"Aquatic centre",34
175,"Arab restaurant",14
176,Arboretum,34
177,"Arborist and tree surgeon",7
178,"Archaeological museum",4
179,"Archery club",34
180,"Archery range",34
181,"Archery store",32
182,Architect,3
183,"Architects association",3
184,"Architectural and engineering model maker",3
185,"Architectural designer",3
186,"Architectural salvage store",32
187,"Architecture firm",3
188,"Architecture school",9
189,Archive,27
190,Arena,34
191,"Argentinian restaurant",14
192,"Armed forces association",23
193,"Armenian church",30
194,"Armenian restaurant",14
195,"Army & navy surplus shop",32
196,"Army barracks",15
197,"Army facility",15
198,"Army museum",4
199,"Aromatherapy class",16
200,"Aromatherapy service",16
201,"Aromatherapy supply store",32
202,"Art café",14
203,"Art center",4
204,"Art dealer",8
205,"Art gallery",4
206,"Art handcraft",4
207,"Art museum",4
208,"Art restoration service",4
209,"Art school",9
210,"Art studio",4
211,"Art supply store",32
212,"Artificial plant supplier",35
213,Artist,4
214,"Arts organization",4
215,Grill,14
216,"Asbestos testing service",7
217,Ashram,30
218,"Asian fusion restaurant",14
219,"Asian grocery store",32
220,"Asian household goods store",32
221,"Asian restaurant",14
222,"Asphalt contractor",7
223,"Asphalt mixing plant",7
224,"Assamese restaurant",14
225,"Assemblies of God church",30
226,"Assembly room",12
227,"Assistante maternelle",19
228,"Assisted living facility",16
229,"Association or organization",23
230,"Aston Martin dealer",8
231,Astrologer,25
232,"Asturian restaurant",14
233,"Athletic club",34
234,"Athletic field",34
235,"Athletic park",34
236,"Athletic track",34
237,ATM,13
238,"Attorney referral service",27
239,"ATV dealer",8
240,"ATV rental service",21
241,"ATV repair shop",31
242,"Auction house",32
243,"Audi dealer",8
244,"Audio visual consultant",27
245,"Audiovisual equipment rental service",27
246,"Audio visual equipment repair service",31
247,"Audio visual equipment supplier",35
248,Audiologist,22
249,Auditor,27
250,Auditorium,4
251,"Australian goods store",32
252,"Australian restaurant",14
253,"Austrian restaurant",14
254,"Auto accessories wholesaler",5
255,"Auto air conditioning service",5
256,"Auto auction",5
257,"Auto body parts supplier",35
258,"Auto body shop",5
259,"Auto bodywork mechanic",5
260,"Auto broker",5
261,"Auto chemistry shop",21
262,"Auto dent removal service",31
263,"Auto electrical service",5
264,"Auto glass repair service",31
265,"Auto glass shop",5
266,"Auto insurance agency",13
267,"Auto machine shop",5
268,"Auto market",5
269,"Auto painting",5
270,"Auto parts manufacturer",21
271,"Auto parts market",5
272,"Auto parts store",5
273,"Auto radiator repair service",31
274,"Auto repair shop",31
275,"Auto restoration service",31
276,"Auto rickshaw stand",37
277,"Auto spring shop",5
278,"Auto sunroof shop",5
279,"Auto tag agency",5
280,"Auto tune up service",5
281,"Auto upholsterer",5
282,"Auto window tinting service",5
283,"Auto wrecker",5
284,"Automation company",36
285,"Automobile storage facility",5
286,"Aviation consultant",27
287,"Aviation training institute",9
288,"Awadhi restaurant",14
289,"Awning supplier",35
290,"Ayam penyet restaurant",14
291,"Ayurvedic clinic",16
292,"Baby clothing store",32
293,"Baby store",32
294,"Baby swimming school",34
295,Childminder,9
296,"Baden restaurant",14
297,"Badminton club",34
298,"Badminton complex",34
299,"Badminton court",34
300,"Bag shop",32
301,"Bagel shop",14
302,"Bahá’í house of worship",30
303,"Bail bonds service",27
304,"Bait shop",34
305,Bakery,14
306,"Bakery equipment",21
307,"Baking supply store",32
308,"Bakso restaurant",14
309,"Balinese restaurant",14
310,"Ballet school",4
311,"Ballet theater",4
312,"Balloon artist",4
313,"Balloon ride tour agency",20
314,"Balloon store",32
315,"Ballroom dance instructor",34
316,Band,4
317,"Bangladeshi restaurant",14
318,"Bangle Shop",32
319,Bank,13
320,"Bankruptcy attorney",27
321,"Bankruptcy service",27
322,"Banner store",32
323,"Banquet hall",12
324,"Baptist church",30
325,Bar,14
326,"Bar & grill",14
327,"Bar PMU",14
328,"Bar restaurant furniture store",32
329,"Bar stool supplier",35
330,"Bar tabac",14
331,"Barbecue restaurant",14
332,"Barbecue area",34
333,"Barber school",9
334,"Barber shop",6
335,"Barber supply store",32
336,"Bariatric surgeon",22
337,"Bark supplier",35
338,"Barrel supplier",35
339,Barrister,27
340,"Bartending school",9
341,"Baseball club",34
342,"Baseball field",34
343,"Baseball goods store",32
344,Basilica,30
345,"Basket supplier",35
346,"Basketball club",34
347,"Basketball court",34
348,"Basketball court contractor",7
349,"Basque restaurant",14
350,"Batak restaurant",14
351,"Bathroom remodeler",7
352,"Bathroom supply store",32
353,"Batik clothing store",32
354,"Battery manufacturer",21
355,"Battery store",32
356,"Battery wholesaler",32
357,"Batting cage center",34
358,"Bavarian restaurant",14
359,Bazar,32
360,"BBQ area",34
361,"Beach cleaning service",33
362,"Beach clothing store",32
363,"Beach entertainment shop",32
364,"Beach pavilion",20
365,"Beach volleyball club",34
366,"Beach volleyball court",34
367,"Bead store",32
368,"Bead wholesaler",32
369,"Bearing supplier",35
370,Beautician,6
371,"Beauty product supplier",35
372,"Beauty products vending machine",32
373,"Beauty products wholesaler",32
374,"Beauty salon",6
375,"Beauty school",9
376,"Beauty supply store",32
377,"Bed & breakfast",20
378,"Bed shop",32
379,"Bedding store",32
380,"Bedroom furniture store",32
381,"Gyudon restaurant",14
382,"Beer distributor",14
383,"Beer garden",14
384,"Beer hall",14
385,"Beer store",14
386,"Belgian restaurant",14
387,"Belt shop",32
388,"Bengali restaurant",14
389,"Bentley dealer",8
390,"Berry restaurant",14
391,Berufsfachschule,9
392,"Betawi restaurant",14
393,"Betting agency",7
394,"Beverage distributor",14
395,"Bicycle club",34
396,"Bicycle rack",34
397,"Bicycle rental service",34
398,"Bicycle repair shop",31
399,"Bicycle store",32
400,"Bicycle wholesaler",32
401,"Bike wash",21
402,"Bikram yoga studio",34
403,"Bilingual school",9
404,"Billiards supply store",34
405,"Bingo hall",4
406,"Biochemical supplier",35
407,"Biochemistry lab",17
408,"Biofeedback therapist",16
409,"Biotechnology engineer",11
410,"Bird control service",7
411,"Bird shop",32
412,"Bird watching area",29
413,"Birth center",17
414,"Birth certificate service",15
415,"Birth control center",17
416,"Biryani restaurant",14
417,Bistro,14
418,Blacksmith,7
419,"Blast cleaning service",19
420,"Blind school",9
421,"Blinds shop",32
422,"Blood bank",17
423,"Blood donation center",17
424,"Blood testing service",17
425,"Blueprint service",27
426,"Blues club",4
427,"BMW dealer",8
428,"BMW motorcycle dealer",8
429,"BMX club",34
430,"BMX park",34
431,"BMX track",34
432,"Board game club",34
433,"Board of education",9
434,"Boarding house",20
435,"Boarding school",9
436,"Boat accessories supplier",35
437,"Boat builders",21
438,"Boat club",34
439,"Boat cover supplier",35
440,"Boat dealer",8
441,"Boat ramp",34
442,"Boat rental service",34
443,"Boat repair shop",31
444,"Boat storage facility",21
445,"Boat tour agency",20
446,"Boat trailer dealer",8
447,"Boating instructor",34
448,"Bocce ball court",34
449,"Body piercing shop",6
450,"Body shaping class",34
451,"Boiler manufacturer",21
452,"Boiler supplier",35
453,"Bonesetting house",17
454,"Bonsai plant supplier",35
455,"Book publisher",4
456,"Book store",32
457,Bookbinder,27
458,"Bookkeeping service",13
459,Bookmaker,21
460,"Books wholesaler",32
461,"Boot camp",34
462,"Boot repair shop",31
463,"Boot store",32
464,"Border crossing station",37
465,"Border guard",15
466,"Botanical garden",29
467,"Bottle & can redemption center",4
468,"Bottled water supplier",35
469,"Bouncy castle hire",12
470,Boutique,32
471,"Bowling alley",34
472,"Bowling club",34
473,"Bowling supply shop",32
474,"Box lunch supplier",35
475,"Boxing club",34
476,"Boxing gym",34
477,"Boxing ring",34
478,"Boys’ high school",9
479,"BPO company",27
480,"BPO placement agency",27
481,"Brake shop",5
482,"Brazilian pastelaria",14
483,"Brazilian restaurant",14
484,"Breakfast restaurant",14
485,Brewery,14
486,"Brewing supply store",32
487,Brewpub,14
488,"Brick manufacturer",21
489,Bricklayer,7
490,"Bridal shop",32
491,Bridge,7
492,"Bridge club",34
493,"British restaurant",14
494,"Brunch restaurant",14
495,"Bubble tea store",14
496,"Buddhist supplies store",35
497,"Buddhist temple",30
498,"Buffet restaurant",14
499,"Bugatti dealer",8
500,"Buick dealer",8
501,"Building consultant",7
502,"Building design company",7
503,"Building designer",7
504,"Building equipment hire service",7
505,"Building firm",7
506,"Building inspector",7
507,"Building materials market",7
508,"Building materials store",7
509,"Building materials supplier",35
510,"Building restoration service",7
511,"Building society",28
512,"Chartered surveyor",28
513,"Bulgarian restaurant",14
514,Bullring,34
515,"Bungee jumping center",34
516,"Burglar alarm store",32
517,"Burmese restaurant",14
518,"Burrito restaurant",14
519,"Bus and coach company",37
520,"Bus charter",37
521,"Bus company",37
522,"Bus depot",37
523,"Bus ticket agency",37
524,"Bus tour agency",37
525,"Business administration service",27
526,"Business banking service",13
527,"Business broker",27
528,"Business center",27
529,"Business development service",27
530,"Business management consultant",27
531,"Business networking company",27
532,"Business park",28
533,"Business school",9
534,"Business to business service",27
535,"Butane gas supplier",35
536,"Butcher shop",32
537,"Butcher shop deli",32
538,"Butsudan store",32
539,"Cabaret club",4
540,"Cabin rental agency",20
541,"Cabinet maker",7
542,"Cabinet store",32
543,"Cable company",36
544,"Cadillac dealer",8
545,Café,14
546,Cafeteria,14
547,"Cajun restaurant",14
548,"Cake decorating equipment shop",32
549,"Cake shop",14
550,"Californian restaurant",14
551,"Call center",27
552,"Call shop",27
553,"Calligraphy lesson",4
554,"Calvary Chapel church",23
555,"Cambodian restaurant",14
556,"Camera repair shop",31
557,"Camera store",32
558,"Children’s camp",9
559,"Camper shell supplier",35
560,Campground,20
561,"Camping cabin",20
562,"Camping farm",20
563,"Camping store",32
564,"Pacific Northwest restaurant (Canada)",14
565,"Canadian restaurant",14
566,"Cancer treatment center",16
567,"Candle store",32
568,"Candy store",32
569,"Cane furniture store",32
570,"Cannabis store",32
571,Cannery,21
572,"Canoe and kayak club",34
573,"Canoe & kayak rental service",34
574,"Canoe & kayak store",34
575,"Canoe & kayak tour agency",34
576,"Canoeing area",34
577,"Cantabrian restaurant",14
578,"Cantonese restaurant",14
579,"Cape Verdean restaurant",14
580,"Capoeira school",34
581,"Capsule hotel",20
582,"Car accessories store",32
583,"Car alarm supplier",35
584,"Car battery store",5
585,"Car dealer",8
586,"Car detailing service",5
587,"Car factory",21
588,"Car finance and loan company",13
589,"Car inspection station",5
590,"Car leasing service",5
591,"Car manufacturer",21
592,"Car racing track",34
593,"Car rental agency",27
594,"Car repair and maintenance service",31
595,"Car security system installer",5
596,"Chauffeur service",37
597,"Car sharing location",37
598,"Car stereo store",5
599,"Car wash",5
600,"Carabinieri police",23
601,Cardiologist,22
602,"Cardiovascular and thoracic surgeon",22
603,"Career guidance service",27
604,"Caribbean restaurant",14
605,"Carnival club",34
606,Carpenter,7
607,"Carpet cleaning service",27
608,"Carpet installer",7
609,"Carpet manufacturer",21
